,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9736,3550060,1316665,G006793,01/03/2001 08:00:00 PM,030XX W PETERSON AV,0810,THEFT,OVER $500,GAS STATION,False,False,2413,24.0,,,06,1155052.0,1939761.0,2001,08/17/2015 03:03:40 PM,41.990517375,-87.70504682,"(41.990517375, -87.70504682)"
9737,3550061,1316666,G008541,01/04/2001 10:23:40 PM,020XX W 21 ST,0460,BATTERY,SIMPLE,APARTMENT,False,True,1223,12.0,,,08B,1163243.0,1890034.0,2001,08/17/2015 03:03:40 PM,41.85389443,-87.676319891,"(41.85389443, -87.676319891)"
9738,3550062,1316667,G007337,01/04/2001 12:55:00 PM,009XX W 18 ST,0820,THEFT,$500 AND UNDER,RESIDENCE,True,False,1233,12.0,,,06,1170125.0,1891634.0,2001,08/17/2015 03:03:40 PM,41.858137686,-87.651013784,"(41.858137686, -87.651013784)"
9739,3550063,1316668,G008034,01/04/2001 06:05:17 PM,010XX N SACRAMENTO AV,0460,BATTERY,SIMPLE,STREET,True,False,1311,12.0,,,08B,1156238.0,1906617.0,2001,08/17/2015 03:03:40 PM,41.89954405,-87.701582964,"(41.89954405, -87.701582964)"
9740,3550064,1316669,G007159,01/04/2001 11:54:31 AM,077XX S CRANDON AV,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,False,False,414,4.0,,,26,1192841.0,1853916.0,2001,08/17/2015 03:03:40 PM,41.75411174,-87.568864937,"(41.75411174, -87.568864937)"
9741,3550065,1316671,G008007,01/04/2001 05:30:00 PM,029XX W LAKE ST,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1331,12.0,,,05,1156826.0,1901043.0,2001,08/17/2015 03:03:40 PM,41.884236579,-87.699574455,"(41.884236579, -87.699574455)"
9742,3550066,1316672,G005855,01/03/2001 05:15:00 PM,001XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,122,1.0,,,11,1176290.0,1901660.0,2001,08/17/2015 03:03:40 PM,41.885512978,-87.628082243,"(41.885512978, -87.628082243)"
9743,3550067,1316673,G007092,01/04/2001 10:25:01 AM,023XX E 79 ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,True,False,414,4.0,,,26,1193011.0,1853001.0,2001,08/17/2015 03:03:40 PM,41.751596759,-87.568271772,"(41.751596759, -87.568271772)"
9744,3550068,1316675,G005644,01/03/2001 04:20:13 PM,006XX W FULTON ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,1212,12.0,,,05,1172064.0,1902137.0,2001,08/17/2015 03:03:40 PM,41.886916152,-87.643586704,"(41.886916152, -87.643586704)"
9745,3550069,1316676,G007427,01/03/2001 10:30:00 PM,070XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,2424,24.0,,,07,1163322.0,1947075.0,2001,08/17/2015 03:03:40 PM,42.010416667,-87.674420913,"(42.010416667, -87.674420913)"
